  Size      File count            Filename
----------  ----------  ------------------------------
   3.751T         1208  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120000/
   3.086T          993  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120001/
   2.416T          842  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120002/
   2.835T          966  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120003/
   2.854T          953  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120004/
   2.738T          947  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120005/
   2.721T          957  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120006/
   2.947T          937  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120007/
   2.769T          959  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120008/
   2.786T          990  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120009/
   2.827T          968  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120010/
   2.801T          956  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120011/
   2.814T          909  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120012/
   3.020T          985  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120013/
   2.869T          963  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120014/
   2.978T          990  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120015/
  61.666G           19  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/120016/
   4.551T         1437  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260000/
   2.530T          840  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260001/
   2.719T          935  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260002/
   2.529T          893  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260003/
   1.972T          691  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260004/
   2.634T          945  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260005/
   2.837T          943  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260006/
   2.346T          870  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260007/
   2.855T          954  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260008/
   2.780T          986  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260009/
   2.479T          910  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260010/
   2.861T          975  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260011/
   3.010T          990  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260012/
   2.797T          964  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260013/
   3.101T          991  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260014/
 867.689G          290  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/260015/
   3.012T         1014  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/270000/
   2.697T          952  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/270001/
   2.539T          916  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/270002/
   2.972T          982  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/270003/
   2.734T          949  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/270004/
 557.127G          189  /cms/store/hidata/HIRun2018A/HIMinimumBias0/AOD/04Apr2019-v1/2710000/
----------  ----------  ------------------------------
 103.651T        35158  TOTAL
